Number of states,Execution time
923.0,8.990918397903442
641.0,7.300869464874268
470.0,5.736907720565796
83.0,1.9345762729644775
1223.0,16.50910210609436
100.0,1.9909749031066895
143.0,8.75769853591919
30.0,0.6373841762542725
363.0,4.311996698379517
113.0,3.424494504928589
342.0,27.88692307472229
517.0,9.354181289672852
645.0,6.3747265338897705
370.0,3.436619758605957
873.0,20.094404935836792
188.0,1.1683881282806396
71.0,0.7776229381561279
29.0,0.8322396278381348
721.0,19.01881456375122
331.0,13.241321802139282
280.0,5.881247282028198
202.0,5.248531103134155
947.0,22.85703730583191
682.0,21.567495107650757
914.0,9.553905487060547
9.0,6.749760627746582
266.0,5.6283791065216064
357.0,2.861985683441162
693.0,7.198282718658447
657.0,6.29320502281189
296.0,4.753224849700928
111.0,3.8237318992614746
250.0,11.604346752166748
1115.0,22.48585271835327
189.0,16.822543144226074
752.0,13.14410138130188
765.0,8.4627046585083
136.0,3.247714042663574
277.0,3.5949082374572754
1500.0,12.288985967636108
796.0,5.155369520187378
424.0,18.577099323272705
418.0,9.010465860366821
184.0,3.3731493949890137
765.0,6.5941078662872314
1661.0,12.330054521560669
354.0,17.822754859924316
507.0,17.057337760925293
1689.0,11.096877336502075
560.0,3.0405454635620117
96.0,0.6055247783660889
963.0,5.939480543136597
212.0,2.3115644454956055
111.0,1.0221781730651855
1320.0,11.110915184020996
67.0,1.4664156436920166
887.0,4.140917062759399
839.0,10.584156513214111
131.0,0.9889705181121826
274.0,15.900172710418701
1049.0,10.164995670318604
28.0,4.266995906829834
29.0,0.1269981861114502
707.0,7.523656606674194
27.0,0.5239548683166504
125.0,2.0200371742248535
329.0,4.3368072509765625
220.0,11.817586660385132
1054.0,14.64437484741211
561.0,6.500529527664185
332.0,1.5690603256225586
16.0,0.4000740051269531
818.0,15.997576475143433
58.0,0.4495704174041748
634.0,5.218369960784912
123.0,1.4343929290771484
6.0,0.09752106666564941
416.0,5.8620922565460205
152.0,1.380018949508667
88.0,1.4272100925445557
299.0,4.445842027664185
178.0,4.59797477722168
501.0,4.046874523162842
645.0,5.384419202804565
114.0,0.5872516632080078
65.0,8.069060802459717
57.0,1.682619333267212
238.0,19.08666682243347
99.0,13.717546701431274
504.0,2.866044282913208
208.0,1.1896135807037354
457.0,11.21468448638916
15.0,0.22418761253356934
41.0,0.2783236503601074
12.0,0.13641881942749023
686.0,16.493267059326172
83.0,22.343878030776978
15.0,0.37099289894104004
262.0,23.004120349884033
128.0,6.286001682281494
